anio,cve_ent,glofas,isimip2a
2003,01,1603939692.5789704,0.0
2003,02,94660737.18662016,1088965952.7417674
2003,03,30.984117782734433,8867.132050117112
2003,04,95871233.17074117,63982136.94730669
2003,05,2166979541.1180267,630796909.6711018
2003,06,294480568.22046196,10946006.684869254
2003,07,1827441411.912856,1296676591.929193
2003,08,430917464.7687195,881781667.1508293
2003,09,4269105679.3687963,2527283239.087924
2003,10,935339232.9158309,9368122.818557598
2003,11,3427165988.7017946,366568065.84915376
2003,12,266572822.46498764,145692944.57745397
2003,13,18831150.90469066,357982962.0626756
2003,14,3406837753.620395,68929257.91207014
2003,15,18621616029.600636,6319313791.165125
2003,16,1386509291.1324909,634428157.433286
2003,17,633206.9554747046,189231217.2750747
2003,18,1291535414.8201897,130435886.9753585
2003,19,3295863100.0363765,63295.984533575014
2003,20,855542605.0240817,2569647911.0585117
2003,21,6615066.635299657,94990548.36688697
2003,22,961221.0243079796,517691.7225153267
2003,23,1782605.8182398728,11829010.191872133
2003,24,138260439.75627053,470864659.4730462
2003,25,2211719020.9749527,1958246046.6502073
2003,26,886473806.9255736,42739024.86636332
2003,27,32464925745.97147,16360867741.610077
2003,28,11976272755.577822,3003803182.699127
2003,29,0.0,13818381.814581284
2003,30,5956233059.133734,7615906235.474412
2003,31,0.0,1227028.828535009
2003,32,107004313.76933083,0.0
2004,01,526898329.87075186,0.0
2004,02,88781473.62773742,3007743532.3217735
2004,03,10.039391741751967,6575.337976155927
2004,04,90244225.70757717,49156369.507029265
2004,05,1255375335.6517348,615534159.1280934
2004,06,117296376.74477033,10144304.61596534
2004,07,886213868.5663192,1103753698.0546942
2004,08,522282961.6338242,935881710.9331648
2004,09,4315092746.713087,5415958145.029737
2004,10,560985178.1102359,21021041.472575232
2004,11,2393581419.720292,1338389819.069592
2004,12,244095719.2756214,137011328.25958115
2004,13,13628485.426082231,374541725.47085667
2004,14,3198187447.9427786,73672952.51416978
2004,15,21783291162.9726,13261787951.477058
2004,16,1183819743.546867,798042897.255368
2004,17,492066.55768188805,256425556.85771888
2004,18,1243201853.269123,198369765.89521074
2004,19,4942337908.092991,49338104.82597931
2004,20,457996003.1827908,1664790293.5098917
2004,21,6136338.926879605,91689844.47922651
2004,22,667636.5529328425,956173.571141832
2004,23,5037873.3334367955,18145070.569967676
2004,24,100202527.9782652,547187382.3500159
2004,25,6364119360.767598,5782392555.546978
2004,26,1385028103.285635,51118932.62356302
2004,27,7706546552.845417,13956060695.22684
2004,28,7911573690.347364,3341170637.6337633
2004,29,0.0,11646392.804505784
2004,30,4390868150.148992,7488387182.809595
2004,31,0.0,1463879.1287025753
2004,32,44110063.05093081,0.0
2005,01,1245035497.103862,0.0
2005,02,59748663.0799587,3379708175.7698565
2005,03,9.97525187585945,2741.7788224471888
2005,04,101880765.69431303,70544520.3165153
2005,05,934543964.8619044,581520729.1783646
2005,06,161918418.79884404,11023674.203308461
2005,07,2296746881.4663777,1740241080.6892133
2005,08,751809260.3569309,1278877261.8197384
2005,09,31366454670.425175,2179194647.529201
2005,10,452116424.01546293,9514916.80927597
2005,11,1605861331.42205,232259090.71879345
2005,12,396612376.1003156,160540124.19016767
2005,13,21270529.548803758,309668426.6875096
2005,14,2260461798.10426,79187109.60682133
2005,15,93423289628.70341,5511935839.467434
2005,16,1721820368.191757,952808344.3692249
2005,17,537262.440934767,122709037.47801776
2005,18,1063228682.496644,132309718.94941571
2005,19,4854362389.995739,87483542.93802641
2005,20,1783929971.9145558,3004872908.1332026
2005,21,9590275.852065044,99697831.08720809
2005,22,734892.5383027559,510399.7416688587
2005,23,7007830.461656725,22617487.99435803
2005,24,149102520.08556667,619539170.3840764
2005,25,3232582597.6748867,2212114734.332861
2005,26,1373599686.1404996,62214763.59466088
2005,27,26788938213.958187,18987189491.730183
2005,28,12557323732.794771,3701778790.3464975
2005,29,0.0,10871430.89747994
2005,30,7981097973.694445,8753594331.120613
2005,31,0.0,1828193.5751099156
2005,32,39626423.452725634,0.0
2006,01,674244897.5670818,0.0
2006,02,20327876.822348595,1995316075.7008867
2006,03,84.26663640334097,7896.0006115369015
2006,04,95070473.11005016,142233210.5825919
2006,05,1129563806.7707276,470292955.4603124
2006,06,249365224.1334195,18785388.259491123
2006,07,2021552726.1731582,979502612.0815725
2006,08,873241186.1063036,1689379651.0530455
2006,09,4509490773.250505,2193158172.190802
2006,10,724631768.6304129,9315153.338865034
2006,11,3353348537.221209,548958614.8917776
2006,12,355043057.46979487,133942687.55399026
2006,13,11147463.087467724,368809318.01982105
2006,14,3542247855.388447,49509038.40697741
2006,15,17443439059.84261,5545203911.835403
2006,16,2091703045.986628,343239484.5261462
2006,17,354173.1344529012,0.0
2006,18,1157485451.8663757,188439262.31894183
2006,19,2585829591.4471307,47064.73916562328
2006,20,1987059800.1096165,2310934004.409011
2006,21,5554238.732876357,80013941.43350983
2006,22,967247.4261105147,413816.4325512574
2006,23,5067365.830940196,30676199.567480497
2006,24,93593744.99598987,389234641.60409284
2006,25,4050246310.6038666,1673481280.2786658
2006,26,1409827029.8140736,52466690.35761562
2006,27,12803220275.514992,13478694847.852825
2006,28,8523529934.53575,2795692254.806384
2006,29,0.0,11900262.386449102
2006,30,5977579481.528668,7468314424.786159
2006,31,0.0,3675806.8696296527
2006,32,49360929.03874278,0.0
2007,01,1947713983.4571674,0.0
2007,02,68144393.99852876,2779466764.1982665
2007,03,11.033712203962635,7018.290332760124
2007,04,143961530.8537944,66368727.80579732
2007,05,1829145220.9288664,433063319.9171292
2007,06,315375786.51453733,16698904.576636918
2007,07,2161103902.510274,1278127901.1313996
2007,08,764681981.9183307,1073356279.9757396
2007,09,7675418240.453114,2152064121.2832355
2007,10,652612990.3635112,9156485.483041083
2007,11,6430678832.31725,486339831.42495596
2007,12,434890063.5058259,166992867.29514137
2007,13,32442125.163827673,349762432.0832523
2007,14,4531962277.332079,51861538.459370315
2007,15,64628279879.259735,5496612153.1759205
2007,16,2939559444.4208946,429168226.462444
2007,17,659651.5935663766,0.0
2007,18,1330060567.460185,133798565.00594571
2007,19,2505447619.730909,82611.867463855
2007,20,1724866190.3567357,2484448311.0145974
2007,21,8394865.510402022,217594238.4162665
2007,22,2119666.1279039825,508539.01085755276
2007,23,22828096.81128759,28720272.624523126
2007,24,301087697.23895824,631201396.1941876
2007,25,3323499322.8977547,1624755661.0241258
2007,26,3251036863.2807403,42569940.066477895
2007,27,22429516757.668232,18373674883.679577
2007,28,12307909240.065132,3798884382.103587
2007,29,0.0,15536639.902961142
2007,30,5901173920.533014,8321283542.831177
2007,31,0.0,3451381.124724477
2007,32,82877310.4477883,0.0
2008,01,2100778032.120468,0.0
2008,02,77862846.64117141,2820610096.1816435
2008,03,13.449236441707065,8504.548097642348
2008,04,137653615.6863297,43716882.50335883
2008,05,3011341122.623255,749542044.0138443
2008,06,322933029.4341618,11775862.15994913
2008,07,1940594016.4406326,1452998707.7861156
2008,08,1183043356.4987366,1442490504.1404052
2008,09,10579563844.943453,2095055899.0192082
2008,10,3920144884.2915444,21743754.191699483
2008,11,10182496085.449854,2228651.100277797
2008,12,402804125.7083172,151388941.45076963
2008,13,35139273.306436405,356753579.01907337
2008,14,4924394099.40202,72936220.66386476
2008,15,57636455737.02156,5366532742.0075
2008,16,2235002013.7446747,474832623.8735251
2008,17,475291.68089316046,383768121.581674
2008,18,1427286733.1629047,273334943.9277065
2008,19,5113644119.276919,751668.177684299
2008,20,3078017277.8117104,2358063914.1861186
2008,21,7289824.6730154,97986283.52893518
2008,22,2067091.7967008543,507472.7304530259
2008,23,20609679.65543893,26541409.19296818
2008,24,319601168.4783791,626532042.8755755
2008,25,3315018837.804822,1647621546.4550216
2008,26,2045521782.9175663,126230646.33838472
2008,27,21537916946.209152,18035268467.716217
2008,28,20329216303.149544,3099661438.267372
2008,29,0.0,13511865.599960044
2008,30,9363783913.029894,8087004893.733604
2008,31,0.0,2558582.1969491728
2008,32,132829954.14138928,0.0
2009,01,1980035157.3689287,0.0
2009,02,38774449.753199674,783617835.5539902
2009,03,40.2676847035781,6830.331778224698
2009,04,93191991.45282474,91326244.78240986
2009,05,1158310890.3073,545663757.1401194
2009,06,98323906.78318119,11047591.069604946
2009,07,810427089.7394692,1032419448.6812292
2009,08,518040920.8327742,1167740736.2301164
2009,09,8044225317.198021,2042417124.276341
2009,10,563652528.3589276,19284934.46606356
2009,11,2804054801.981459,21515726.53466582
2009,12,284190351.2781513,125931397.16209865
2009,13,19880431.89191267,365337145.7230447
2009,14,3212078018.2286787,34600120.778344706
2009,15,38616699605.61846,5242549789.418315
2009,16,1193237654.0304606,356056942.05609834
2009,17,689258.6329809963,0.0
2009,18,1616759397.4193702,111024311.897659
2009,19,2339443244.441564,54923.01085782355
2009,20,1191029504.923528,2172823676.8071694
2009,21,5895783.04515494,79149953.94499777
2009,22,937119.2664392334,417653.6222703558
2009,23,4542892.773208691,28473543.448715333
2009,24,172498715.1333715,424098641.4293432
2009,25,3114719765.3575945,2544153373.3986874
2009,26,2179240916.153038,70253850.49939543
2009,27,22643532354.876373,9944375853.565886
2009,28,8798395448.353115,2236343618.7098846
2009,29,0.0,11388512.453567889
2009,30,6747713238.38946,6457202877.276751
2009,31,0.0,772469.7053514888
2009,32,58102969.690141134,0.0
2010,01,1537609964.1619353,0.0
2010,02,120292604.88012576,788676034.1699135
2010,03,9.976646801595244,2219.9181837485553
2010,04,149713752.37115797,54010159.873129345
2010,05,5109854819.9740305,477665767.9398943
2010,06,454722592.1611308,11419537.202238113
2010,07,2432396939.992731,1915187460.3026161
2010,08,1013356511.4568366,1176253207.8621142
2010,09,23069391112.985847,2226909985.8087435
2010,10,2535369345.895597,13424704.700254949
2010,11,10297825188.495823,3313406406.635511
2010,12,560683458.8772928,182062932.73901445
2010,13,35199422.219577216,392491558.7585096
2010,14,5222085918.351196,81514303.81853141
2010,15,71259215761.95732,5610117220.002558
2010,16,2832144197.004073,844049701.1901287
2010,17,714217.4432663672,390368132.2544285
