anio,cve_ent,metodo,perdida
2000,06,glofas,862507521.0903867
2000,07,glofas,1506053478.26523
2000,08,glofas,447128695.8695406
2000,09,glofas,3747612771.733735
2000,10,glofas,419509329.36908954
2000,11,glofas,1674702032.874855
2000,12,glofas,270490003.1604935
2000,13,glofas,10690710.681084905
2000,14,glofas,2918102339.5387473
2000,15,glofas,14721502024.251814
2000,16,glofas,1363054228.1436574
2000,17,glofas,686646.3688570759
2000,18,glofas,1920176106.950397
2000,19,glofas,2132088925.3514407
2000,20,glofas,1026842175.175772
2000,21,glofas,5413023.602295427
2000,22,glofas,391594.88597250276
2000,23,glofas,34754740.15369564
2000,24,glofas,74805696.55539818
2000,25,glofas,3929370359.3192983
2000,26,glofas,1288331424.5921159
2000,27,glofas,10525847863.847584
2000,28,glofas,7999007167.167789
2000,29,glofas,0.0
2000,30,glofas,4962868662.702423
2000,31,glofas,0.0
2000,32,glofas,28336067.087226845
2001,01,glofas,1971341117.8445203
2001,02,glofas,39787437.699835286
2001,03,glofas,15.9787034328723
2001,04,glofas,97547201.3323175
2001,05,glofas,941522178.8457296
2001,06,glofas,135585326.74118283
2001,07,glofas,2026252627.2376304
2001,08,glofas,478978643.73601466
2001,09,glofas,4010737209.879547
2001,10,glofas,384247167.4779652
2001,11,glofas,3847654107.4815397
2001,12,glofas,254881510.40236694
2001,13,glofas,23676988.790117886
2001,14,glofas,3057880468.0563
2001,15,glofas,18168959331.91478
2001,16,glofas,1257726095.6702397
2001,17,glofas,712013.9178186824
2001,18,glofas,1031796156.192027
2001,19,glofas,2162168652.929766
2001,20,glofas,1065086010.3745518
2001,21,glofas,5020997.437305682
2001,22,glofas,983997.0627862003
2001,23,glofas,6629907.343448724
2001,24,glofas,159124140.53159705
2001,25,glofas,2105115514.7082648
2001,26,glofas,1767391522.7212539
2001,27,glofas,12133422335.079233
2001,28,glofas,8426275811.915255
2001,29,glofas,0.0
2001,30,glofas,7668813279.357143
2001,31,glofas,0.0
2001,32,glofas,39246202.612914175
2002,01,glofas,652417786.1358771
2002,02,glofas,22592881.06144228
2002,03,glofas,10.04749784471373
2002,04,glofas,192093739.35527024
2002,05,glofas,883713106.6505406
2002,06,glofas,144383942.9798327
2002,07,glofas,1958143624.5334847
2002,08,glofas,793765655.4831982
2002,09,glofas,3198897496.334386
2002,10,glofas,416614279.90395325
2002,11,glofas,3077531712.1164126
2002,12,glofas,299275679.04627794
2002,13,glofas,17074468.997541048
2002,14,glofas,2848857215.799918
2002,15,glofas,25105601355.662197
2002,16,glofas,1581729161.3959825
2002,17,glofas,539593.4316954385
2002,18,glofas,1010122245.8453737
2002,19,glofas,3076211345.8663735
2002,20,glofas,1165618556.0526152
2002,21,glofas,7053588.997031284
2002,22,glofas,895568.6936778524
2002,23,glofas,6504529.183033444
2002,24,glofas,130102898.32873194
2002,25,glofas,1581826692.602851
2002,26,glofas,726573093.1762577
2002,27,glofas,15461104245.902674
2002,28,glofas,10023339319.549194
2002,29,glofas,0.0
2002,30,glofas,4685732088.923154
2002,31,glofas,0.0
2002,32,glofas,68344513.23619801
2003,01,glofas,1603939692.5789704
2003,02,glofas,94660737.18662016
2003,03,glofas,30.984117782734433
2003,04,glofas,95871233.17074117
2003,05,glofas,2166979541.1180267
2003,06,glofas,294480568.22046196
2003,07,glofas,1827441411.912856
2003,08,glofas,430917464.7687195
2003,09,glofas,4269105679.3687963
2003,10,glofas,935339232.9158309
2003,11,glofas,3427165988.7017946
2003,12,glofas,266572822.46498764
2003,13,glofas,18831150.90469066
2003,14,glofas,3406837753.620395
2003,15,glofas,18621616029.600636
2003,16,glofas,1386509291.1324909
2003,17,glofas,633206.9554747046
2003,18,glofas,1291535414.8201897
2003,19,glofas,3295863100.0363765
2003,20,glofas,855542605.0240817
2003,21,glofas,6615066.635299657
2003,22,glofas,961221.0243079796
2003,23,glofas,1782605.8182398728
2003,24,glofas,138260439.75627053
2003,25,glofas,2211719020.9749527
2003,26,glofas,886473806.9255736
2003,27,glofas,32464925745.97147
2003,28,glofas,11976272755.577822
2003,29,glofas,0.0
2003,30,glofas,5956233059.133734
2003,31,glofas,0.0
2003,32,glofas,107004313.76933083
